applicationId,municipality,time,timeToVerdict,filling-time
LP-837-2016-00138,837,82616,68461,79008
LP-444-2016-00089,444,61162,52452,3010
LP-092-2015-00264,092,9784,68007,66025
LP-092-2015-00267,092,48225,61008,80387
LP-092-2015-00349,092,61324,79626,3453
LP-092-2015-00618,092,60335,63924,80947
LP-092-2015-00619,092,14872,2526,3492
LP-837-2016-00135,837,1735,78432,2715
LP-106-2015-00787,106,83647,56162,72973
LP-186-2015-00092,186,60694,66804,81312
LP-444-2016-00409,444,68363,9445,16814
LP-106-2015-00717,106,12455,10103,5022
LP-092-2016-03913,092,59234,0,35053
LP-092-2016-04234,092,55988,0,21381
LP-106-2015-00711,106,84066,21792,11421
LP-837-2016-00840,837,81453,44978,57564
LP-106-2016-00183,106,6438,76834,15202
LP-092-2015-00431,092,65722,2040,27730
LP-092-2016-00320,092,74265,67488,78304
LP-092-2016-00325,092,6696,83708,66875
LP-092-2015-00665,092,76069,6248,11866
LP-837-2016-00005,837,14855,18462,7512
LP-837-2016-00999,837,745,76801,53300
LP-092-2015-00505,092,47257,64803,81425
LP-092-2014-00174,092,55019,60757,5150
LP-092-2014-00175,092,47393,49601,6631
LP-106-2015-00975,106,73194,11840,2260
LP-106-2016-00604,106,15101,368,86019
LP-444-2015-00217,444,51661,71730,27153
LP-106-2015-00875,106,69434,80793,6915
LP-092-2016-00437,092,10580,13530,16759
LP-444-2015-00101,444,83505,19064,5330
LP-092-2016-04052,092,81604,0,79769
LP-092-2016-01127,092,77636,0,5830
LP-092-2016-01124,092,77635,0,7052
LP-092-2016-01122,092,77637,0,7827
LP-092-2016-01823,092,77637,0,21343
LP-092-2016-00023,092,81982,0,696
LP-444-2015-00519,444,77046,76937,9112
LP-106-2015-00578,106,12204,82369,81279
LP-092-2016-00183,092,2402,23037,82535
LP-092-2015-01847,092,10617,67835,72402
LP-092-2016-01128,092,77639,0,4700
LP-092-2016-01129,092,62679,0,2214
LP-186-2016-00860,186,73664,0,19480
LP-092-2015-00770,092,73240,78790,370
LP-092-2016-02534,092,36488,0,38665
LP-444-2016-00814,444,71396,0,79691
LP-444-2015-00778,444,1076,69618,68428
LP-092-2016-02362,092,74896,82305,9813
LP-186-2015-00995,186,85666,6196,20869
LP-092-2015-01365,092,71955,15539,82995
LP-092-2016-00753,092,59908,18693,30611
LP-092-2015-01360,092,12680,6623,2336
LP-092-2015-02667,092,66907,22960,16003
LP-106-2015-01051,106,16210,13912,3031
LP-106-2015-01056,106,61536,4832,2361
LP-092-2015-02148,092,7291,0,77858
LP-837-2016-00909,837,13703,4215,67304
LP-092-2016-02849,092,59344,62378,10411
LP-092-2015-02861,092,52142,15429,18464
LP-092-2015-01679,092,82245,56597,76851
LP-186-2015-00369,186,13051,14971,581
LP-092-2016-01827,092,67186,11928,5492
LP-092-2016-03251,092,52938,0,7235
LP-837-2016-00002,837,85724,65188,71386
LP-092-2016-03448,092,9745,0,81852
LP-186-2015-00202,186,43195,59825,19753
LP-186-2015-00560,186,81261,7919,11105
LP-092-2015-00165,092,18053,13720,78516
LP-837-2016-00832,837,66936,80774,13175
LP-444-2015-00072,444,51130,47057,82648
LP-444-2015-00070,444,72281,55831,2390
LP-837-2016-00836,837,68873,50918,65916
LP-092-2015-01443,092,77339,85236,78697
LP-444-2015-00078,444,57561,69803,15273
LP-837-2016-01152,837,70794,0,5886
LP-186-2016-00550,186,78746,3450,83649
LP-837-2016-01018,837,4245,17104,423
LP-092-2016-00406,092,67592,274,73970
LP-106-2015-01095,106,52986,44302,1752
LP-837-2015-00102,837,68768,58543,8622
LP-837-2016-00408,837,72316,59042,60689
LP-837-2015-00093,837,2154,80101,76612
LP-837-2016-01405,837,64125,0,2767
LP-092-2015-00093,092,51048,11285,30153
LP-106-2016-00786,106,6434,17077,65648
LP-092-2015-00307,092,65769,18807,31365
LP-186-2015-01043,186,85162,76503,84858
LP-106-2016-00932,106,78338,0,7423
LP-186-2015-01194,186,74402,10784,24393
LP-092-2015-01145,092,59711,8856,49445
LP-092-2015-00002,092,17297,18679,1124
LP-092-2015-01149,092,37648,49118,74158
LP-092-2016-03385,092,15942,0,54489
LP-444-2016-00030,444,9854,43205,53308
LP-092-2015-00827,092,49867,56119,1933
LP-092-2016-00209,092,4120,11013,13048
LP-092-2015-00824,092,72382,72136,68786
LP-106-2015-00021,106,12638,16136,53953
LP-092-2016-02069,092,33553,83370,48914
LP-092-2016-00201,092,76581,82790,74899
