applicationId,municipality,time,filling-time
LP-977-2015-00038,977,2367,2152
LP-837-2016-00002,837,85724,71386
LP-245-2015-00034,245,949,2874
LP-092-2015-00169,092,80478,49885
LP-186-2015-00202,186,43195,19753
LP-186-2015-00560,186,81261,11105
LP-092-2015-00165,092,18053,78516
LP-444-2015-00072,444,51130,82648
LP-543-2015-00143,543,78396,6634
LP-444-2015-00070,444,72281,2390
LP-092-2015-01443,092,77339,78697
LP-908-2016-00050,908,81253,67472
LP-444-2015-00078,444,57561,15273
LP-895-2015-00112,895,20752,727
LP-092-2015-02965,092,55108,84094
LP-092-2015-01747,092,67736,11587
LP-491-2015-00812,491,2491,71953
LP-491-2016-00006,491,48776,8405
LP-638-2015-00151,638,66143,70545
LP-858-2015-00142,858,38813,33589
LP-092-2015-00093,092,51048,30153
LP-858-2015-00066,858,82316,67946
LP-092-2016-00803,092,69144,63635
LP-106-2015-01095,106,52986,1922
LP-092-2015-00307,092,65769,31365
LP-858-2015-00387,858,43017,31616
LP-208-2015-00335,208,52580,31457
LP-235-2015-00008,235,67046,1480
LP-858-2016-00028,858,2982,43127
LP-092-2015-00002,092,17297,1124
LP-208-2016-00006,208,38413,19532
LP-092-2015-01149,092,37648,74158
LP-491-2015-00885,491,73104,3946
LP-444-2016-00030,444,9854,53308
LP-638-2015-00010,638,41566,24731
LP-092-2015-00827,092,49867,1933
LP-092-2016-00209,092,4120,13048
LP-092-2015-00824,092,72382,68786
LP-106-2015-00021,106,12638,53953
LP-092-2016-00201,092,76581,74899
LP-853-2015-00054,853,42936,659
LP-092-2016-00938,092,65178,19682
LP-186-2015-00747,186,59266,28151
LP-908-2015-00159,908,8695,10334
LP-543-2015-00085,543,65832,30154
LP-092-2015-00788,092,12763,67535
LP-245-2015-00145,245,12854,78838
LP-092-2016-00937,092,65147,21565
LP-543-2015-00082,543,79155,4127
LP-245-2015-00141,245,6510,43690
LP-092-2015-01588,092,10596,56859
LP-092-2016-00381,092,974,84616
LP-106-2015-00005,106,18939,78304
LP-092-2016-00383,092,48746,30381
LP-753-2015-00049,753,56025,3884
LP-491-2015-00771,491,60265,14674
LP-186-2015-00583,186,8384,68172
LP-092-2015-00227,092,50912,32618
LP-092-2015-00430,092,6638,1580
LP-092-2015-00431,092,65722,27730
LP-092-2015-00435,092,64672,724
LP-092-2014-00142,092,64371,85666
LP-092-2016-00492,092,9661,2147
LP-543-2016-00058,543,85781,60674
LP-092-2015-00493,092,5810,51325
LP-245-2016-00101,245,3657,58640
LP-235-2016-00024,235,2419,10372
LP-235-2016-00026,235,74221,2269
LP-444-2015-00150,444,71177,77660
LP-837-2015-00073,837,2116,78311
LP-092-2015-00491,092,70373,57652
LP-092-2015-02741,092,9530,66525
LP-444-2015-00523,444,80842,5570
LP-092-2015-02743,092,79001,62714
LP-092-2015-02961,092,3458,60945
LP-092-2016-01150,092,67041,328
LP-092-2016-00156,092,61694,60022
LP-092-2015-00494,092,9348,4722
LP-092-2015-02187,092,56203,12060
LP-092-2015-02825,092,37645,6497
LP-543-2016-00027,543,23926,62259
LP-638-2015-00165,638,47176,36198
LP-297-2016-00021,297,44040,298
LP-092-2015-00995,092,18152,49420
LP-092-2015-01439,092,80357,67520
LP-444-2015-00024,444,15264,68360
LP-092-2015-00251,092,84156,83379
LP-092-2015-01242,092,4765,6796
LP-444-2015-00737,444,75114,13723
LP-092-2015-01245,092,52733,24755
LP-092-2015-01247,092,80315,67510
LP-543-2015-00104,543,85616,14366
LP-543-2015-00103,543,6363,50238
LP-092-2016-01336,092,16403,9598
LP-638-2015-00080,638,48242,41344
LP-753-2015-00124,753,26608,2095
LP-106-2014-00267,106,71850,211
LP-837-2016-00347,837,76099,15695
LP-790-2015-00312,790,39557,755
LP-186-2015-00253,186,21768,45017
LP-092-2015-02522,092,60579,15929
LP-245-2015-00040,245,65518,25449
LP-092-2015-01503,092,73060,5592
LP-245-2015-00364,245,79813,73144
LP-092-2015-01507,092,54622,20996
LP-186-2015-00499,186,35179,11441
LP-092-2015-01110,092,18943,45091
LP-092-2015-00050,092,4822,72764
LP-092-2015-00051,092,5567,73961
LP-245-2015-00368,245,3860,3968
LP-710-2015-00005,710,13986,1145
LP-422-2015-00023,422,24272,54826
LP-106-2016-00264,106,17366,58701
LP-491-2015-00929,491,45776,8509
LP-858-2015-00472,858,58391,3773
LP-753-2015-00132,753,75695,18904
LP-106-2015-00145,106,79985,6894
LP-638-2015-00109,638,7720,5526
LP-858-2015-00033,858,4527,1074
LP-858-2015-00030,858,10760,8623
LP-638-2015-00102,638,66302,20895
LP-092-2015-01753,092,4500,79624
LP-208-2015-00475,208,71050,72117
LP-106-2015-00480,106,44504,31561
LP-092-2016-00972,092,74168,3713
LP-734-2015-00053,734,78767,57014
LP-734-2015-00052,734,67011,1510
LP-908-2015-00115,908,9417,84072
LP-543-2015-00108,543,4454,61553
LP-444-2015-00778,444,1076,68428
LP-638-2015-00197,638,63259,27876
LP-543-2015-00065,543,8937,65558
LP-106-2016-00196,106,10376,57525
LP-536-2015-00035,536,56016,66597
LP-257-2016-00012,257,68395,4593
LP-186-2015-00489,186,68638,83780
LP-092-2016-00331,092,77998,18623
LP-732-2015-00031,732,84588,48018
LP-186-2015-00675,186,46690,20120
LP-106-2015-00488,106,73392,11736
LP-638-2015-00034,638,82995,56743
LP-208-2015-00116,208,75786,85600
LP-208-2015-00504,208,20163,81521
LP-837-2016-00157,837,80342,14660
LP-092-2016-00252,092,19268,67613
LP-092-2015-00475,092,49392,44052
LP-106-2015-01281,106,73803,71737
LP-908-2016-00044,908,70029,12277
LP-186-2015-01370,186,7263,56935
LP-245-2016-00026,245,8891,1276
LP-106-2015-00965,106,6488,64945
LP-106-2015-00360,106,74119,17640
LP-604-2016-00004,604,66095,80196
LP-092-2015-00584,092,54626,5793
LP-837-2015-00038,837,76365,16753
LP-536-2016-00039,536,56449,4329
LP-257-2016-00068,257,78276,30055
