applicationId,municipality,timeToVerdict,filling-time,operation,start_month,1,2,3,4,5,6,7,8,9,10,11,12
LP-837-2016-00555,837,13.7096054496,14.4166592191,maalampo,3,0,0,1,0,0,0,0,0,0,0,0,0
LP-091-2015-10134,091,13.9607401342,14.5345257576,maalampo,12,0,0,0,0,0,0,0,0,0,0,0,1
LP-837-2016-00433,837,14.5725705952,10.877103351,maalampo,3,0,0,1,0,0,0,0,0,0,0,0,0
LP-092-2015-00084,092,13.9676975968,7.51425465282,maalampo,2,0,1,0,0,0,0,0,0,0,0,0,0
LP-091-2015-07151,091,14.233120946,7.84932381804,maalampo,9,0,0,0,0,0,0,0,0,1,0,0,0
LP-091-2015-04628,091,13.6126560352,7.95717732346,maalampo,6,0,0,0,0,0,1,0,0,0,0,0,0
LP-091-2015-10033,091,14.2793565176,7.06646697014,maalampo,12,0,0,0,0,0,0,0,0,0,0,0,1
LP-091-2016-03024,091,14.0464595673,7.89319886954,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-092-2016-01463,092,14.9111594601,6.27287700655,maalampo,3,0,0,1,0,0,0,0,0,0,0,0,0
LP-092-2016-01465,092,14.9105799112,5.78689738137,maalampo,3,0,0,1,0,0,0,0,0,0,0,0,0
LP-092-2015-00814,092,15.096620499,7.20266119652,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-092-2015-00777,092,14.0410576185,6.67076632085,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-106-2016-00337,106,14.1173876527,7.34148385236,maalampo,4,0,0,0,1,0,0,0,0,0,0,0,0
LP-186-2016-00308,186,15.4680161974,8.05261481882,maalampo,3,0,0,1,0,0,0,0,0,0,0,0,0
LP-186-2016-00646,186,14.3423498754,7.0561752841,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-091-2016-02190,091,15.6931544082,7.86863689418,maalampo,4,0,0,0,1,0,0,0,0,0,0,0,0
LP-092-2015-00650,092,12.2441484728,7.89207842125,maalampo,4,0,0,0,1,0,0,0,0,0,0,0,0
LP-092-2016-02715,092,14.5985345479,13.9959286376,maalampo,6,0,0,0,0,0,1,0,0,0,0,0,0
LP-186-2015-00691,186,15.1368279018,6.28413416107,maalampo,7,0,0,0,0,0,0,1,0,0,0,0,0
LP-091-2016-04450,091,14.8155304864,9.59886275935,maalampo,7,0,0,0,0,0,0,1,0,0,0,0,0
LP-092-2015-00222,092,14.4817263217,7.38894609762,maalampo,2,0,1,0,0,0,0,0,0,0,0,0,0
LP-837-2016-01567,837,14.7196096732,9.27594082906,maalampo,7,0,0,0,0,0,0,1,0,0,0,0,0
LP-092-2016-00884,092,12.2776395347,7.7655690811,maalampo,2,0,1,0,0,0,0,0,0,0,0,0,0
LP-091-2015-04713,091,14.9381501973,7.03614849375,maalampo,6,0,0,0,0,0,1,0,0,0,0,0,0
LP-091-2015-05539,091,14.0396136488,7.24850407237,maalampo,6,0,0,0,0,0,1,0,0,0,0,0,0
LP-092-2016-01391,092,13.9480193029,13.3384871476,maalampo,3,0,0,1,0,0,0,0,0,0,0,0,0
LP-837-2016-00895,837,14.2870998045,6.17586727011,maalampo,4,0,0,0,1,0,0,0,0,0,0,0,0
LP-091-2015-07508,091,14.5221818737,6.86901445067,maalampo,9,0,0,0,0,0,0,0,0,1,0,0,0
LP-186-2015-01129,186,14.2392103982,14.1256182852,maalampo,10,0,0,0,0,0,0,0,0,0,1,0,0
LP-092-2016-02356,092,11.8514028328,6.9957661563,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-837-2015-00162,837,14.045795747,7.49997654095,maalampo,12,0,0,0,0,0,0,0,0,0,0,0,1
LP-091-2015-00208,091,14.2270856288,15.0221386339,maalampo,3,0,0,1,0,0,0,0,0,0,0,0,0
LP-091-2015-00209,091,14.7151372121,14.89703535,maalampo,3,0,0,1,0,0,0,0,0,0,0,0,0
LP-092-2015-02198,092,13.2171898039,6.68461172767,maalampo,10,0,0,0,0,0,0,0,0,0,1,0,0
LP-092-2015-02192,092,13.2226122509,7.56423847517,maalampo,10,0,0,0,0,0,0,0,0,0,1,0,0
LP-091-2016-02862,091,14.4316184743,7.43484787521,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-092-2015-01578,092,12.6761856438,7.12044437239,maalampo,8,0,0,0,0,0,0,0,1,0,0,0,0
LP-837-2016-01637,837,14.2388489825,6.53669159759,maalampo,8,0,0,0,0,0,0,0,1,0,0,0,0
LP-091-2016-03732,091,14.9936740489,14.2484449081,maalampo,6,0,0,0,0,0,1,0,0,0,0,0,0
LP-091-2015-00022,091,14.428031027,6.49677499019,maalampo,2,0,1,0,0,0,0,0,0,0,0,0,0
LP-091-2015-00020,091,13.975691306,11.1509795108,maalampo,2,0,1,0,0,0,0,0,0,0,0,0,0
LP-091-2015-07927,091,14.1010435728,8.48115142007,maalampo,10,0,0,0,0,0,0,0,0,0,1,0,0
LP-091-2015-05395,091,15.163010555,6.988413182,maalampo,6,0,0,0,0,0,1,0,0,0,0,0,0
LP-091-2016-04739,091,14.7483712467,8.81165224815,maalampo,7,0,0,0,0,0,0,1,0,0,0,0,0
LP-092-2015-01311,092,12.8727475058,13.1848930071,maalampo,7,0,0,0,0,0,0,1,0,0,0,0,0
LP-837-2016-00864,837,13.5213824209,6.79570577517,maalampo,4,0,0,0,1,0,0,0,0,0,0,0,0
LP-091-2016-03684,091,14.181531888,11.1517403656,maalampo,6,0,0,0,0,0,1,0,0,0,0,0,0
LP-092-2016-03045,092,12.3138592159,6.29341927885,maalampo,6,0,0,0,0,0,1,0,0,0,0,0,0
LP-837-2016-01182,837,14.5549433403,13.8784703335,maalampo,5,0,0,0,0,1,0,0,0,0,0,0,0
LP-091-2015-09864,091,13.976341163,7.18311170174,maalampo,12,0,0,0,0,0,0,0,0,0,0,0,1
LP-092-2016-03406,092,13.2263737821,7.56631101477,maalampo,6,0,0,0,0,0,1,0,0,0,0,0,0
LP-092-2015-01534,092,12.8498352353,12.1597459445,maalampo,8,0,0,0,0,0,0,0,1,0,0,0,0
LP-092-2015-01535,092,13.2146654009,15.7989892319,maalampo,8,0,0,0,0,0,0,0,1,0,0,0,0
LP-091-2015-08405,091,14.476299306,14.497718624,maalampo,10,0,0,0,0,0,0,0,0,0,1,0,0
