applicationId,filling-time,operation,time-to-verdict
LP-092-2015-01531,24278.25,pientalo,5212241.484
LP-186-2015-00489,170180.771,pientalo,3498812.482
LP-092-2015-01102,1278993.021,pientalo,27257449.279
LP-106-2016-00804,411.542,pientalo,1075761.745
LP-092-2015-00043,2171071.811,pientalo,9544499.734
LP-092-2015-00042,433371.115,pientalo,5462033.823
LP-092-2015-00046,2634544.947,pientalo,4896289.302
LP-837-2016-01112,169939.377,pientalo,9050701.492
LP-092-2015-00137,2500398.789,pientalo,8941177.106
LP-092-2015-01036,2330081.38,pientalo,1909513.259
LP-092-2015-00133,2939850.37,pientalo,2716945.928
LP-092-2015-00032,1038134.972,pientalo,5325348.937
LP-837-2016-00507,156889.314,pientalo,5050886.774
LP-491-2015-00913,22178703.236,pientalo,1182635.401
LP-092-2016-02036,105087.368,pientalo,4071575.345
LP-092-2016-02033,1626038.564,pientalo,3593960.749
LP-106-2015-00156,915069.32,pientalo,3931614.186
LP-186-2015-00416,3043013.045,pientalo,3917984.902
LP-092-2015-01621,9866.661,pientalo,7038987.052
LP-186-2015-00799,3671955.739,pientalo,1746763.485
LP-186-2016-00049,5924651.729,pientalo,3591113.829
LP-092-2015-01747,184387.267,pientalo,15244462.673
LP-092-2015-01746,165456.103,pientalo,15244523.072
LP-092-2015-00614,360476.093,pientalo,9098616.588
LP-837-2016-00138,79008.938,pientalo,6693381.85
LP-092-2015-00264,3262825.444,pientalo,5497448.65
LP-092-2015-00267,339587.094,pientalo,8141780.719
LP-092-2015-00349,3453.646,pientalo,7207056.222
LP-092-2015-00618,2500147.535,pientalo,5736552.08
LP-092-2015-00619,3492.348,pientalo,6619021.952
LP-837-2016-00135,2715.338,pientalo,6169587.654
LP-106-2015-00787,850573.035,pientalo,4350394.289
LP-186-2015-00092,2673312.505,pientalo,1152259.188
LP-186-2015-00094,3029959.532,pientalo,795048.075
LP-106-2015-00717,4497822.646,pientalo,657398.804
LP-106-2015-00711,443421.156,pientalo,3154738.435
LP-491-2015-01202,90620.997,pientalo,1085445.862
LP-092-2015-01277,4227401.498,pientalo,12108471.518
LP-106-2016-00183,10728802.682,pientalo,5397901.03
LP-092-2015-00431,1496530.682,pientalo,4768646.624
LP-092-2016-00320,78304.844,pientalo,9119811.782
LP-092-2016-00325,1362875.224,pientalo,5410156.246
LP-092-2015-00665,1999066.875,pientalo,7813588.228
LP-837-2016-00005,1130712.516,pientalo,9642922.101
LP-837-2016-00999,2213300.409,pientalo,7572251.331
LP-092-2015-00505,2846225.653,pientalo,9260042.874
LP-092-2014-00174,5150.884,pientalo,7887385.844
LP-092-2014-00175,6631.122,pientalo,8996473.911
LP-106-2015-00975,866260.764,pientalo,1165454.332
LP-106-2016-00604,2073219.474,pientalo,2733977.273
