applicationId,municipality,time,filling-time
LP-092-2015-02103,092,82519,1291
LP-837-2016-01068,837,83071,2450
LP-092-2015-02109,092,17557,6377
LP-837-2016-01063,837,1194,5440
LP-837-2016-01061,837,5747,3594
LP-837-2016-00216,837,5513,76446
LP-837-2016-00366,837,77537,14711
LP-837-2016-00214,837,13535,79262
LP-444-2016-00217,444,79174,23890
LP-092-2016-02282,092,4578,63512
LP-837-2016-00213,837,82792,80936
LP-837-2016-00210,837,35920,6049
LP-837-2016-00211,837,467,13228
LP-837-2016-00364,837,2640,2251
LP-092-2016-03409,092,27003,58323
LP-092-2016-02139,092,5908,7120
LP-106-2015-00395,106,67982,726
LP-106-2015-00270,106,12358,50140
LP-106-2016-00779,106,31957,84600
LP-092-2015-01102,092,5190,69393
LP-837-2016-00207,837,65028,3291
LP-837-2016-01112,837,32840,83539
LP-837-2016-01113,837,72362,10611
LP-837-2016-01111,837,57492,1022
LP-092-2015-01037,092,61732,18715
LP-837-2016-01117,837,10990,73038
LP-837-2016-01115,837,61760,10235
LP-837-2016-01118,837,65751,791
LP-092-2015-00032,092,86110,1334
LP-837-2016-00200,837,76997,17617
LP-106-2016-00376,106,83185,2326
LP-444-2016-00101,444,65009,26448
LP-837-2016-00500,837,7944,5814
LP-186-2016-00304,186,74635,4044
LP-837-2016-00506,837,64411,12079
LP-444-2016-00106,444,23798,1321
LP-444-2016-00107,444,20132,713
LP-444-2016-00108,444,76679,632
LP-444-2016-00109,444,71421,1644
LP-106-2015-00154,106,68579,10280
LP-186-2016-00309,186,29465,73446
LP-106-2015-00156,106,78422,51069
LP-186-2016-00042,186,32376,68228
LP-092-2016-00843,092,78727,81768
LP-092-2015-01747,092,67736,11587
LP-092-2015-01746,092,69792,79056
LP-092-2015-00614,092,51286,14876
LP-106-2016-00118,106,15864,5345
LP-092-2015-00349,092,61324,3453
LP-092-2015-00618,092,60335,80947
LP-092-2015-00619,092,14872,3492
LP-186-2016-00860,186,73664,19480
LP-444-2016-00560,444,74000,300
LP-444-2016-00564,444,13677,85543
LP-106-2015-00718,106,869,7205
LP-106-2015-00717,106,12455,5022
LP-106-2015-00711,106,84066,11421
LP-444-2016-00364,444,35918,26432
LP-444-2016-00367,444,54409,7049
LP-444-2016-00361,444,16363,462
LP-837-2016-00447,837,18988,2156
LP-837-2016-00445,837,57910,84587
LP-837-2016-00444,837,64139,12846
LP-837-2016-00443,837,81633,718
LP-837-2016-00441,837,73383,85890
LP-837-2016-00440,837,72424,3755
LP-092-2015-00509,092,4564,2067
LP-837-2016-00996,837,67688,2453
LP-837-2016-00993,837,78475,8490
LP-837-2016-00992,837,81371,8324
LP-444-2016-00967,444,84826,939
LP-837-2016-00999,837,745,53300
LP-092-2015-00505,092,47257,81425
LP-106-2015-00975,106,73194,2260
LP-106-2016-00604,106,15101,86019
LP-106-2016-00608,106,82442,80787
LP-106-2015-00370,106,10269,8265
LP-106-2015-00372,106,73071,5678
LP-106-2015-00376,106,69645,5135
LP-106-2015-00378,106,66467,85983
LP-092-2016-03663,092,7348,83539
LP-106-2015-00576,106,9513,5935
LP-106-2015-00578,106,12204,81279
LP-444-2016-00813,444,84928,82509
LP-444-2016-00814,444,71396,79691
LP-186-2015-00998,186,84663,600
LP-186-2015-00995,186,85666,20869
LP-186-2015-01000,186,66235,786
LP-186-2015-01009,186,75567,1308
LP-837-2016-00930,837,74666,652
LP-092-2016-02921,092,6742,76103
LP-092-2016-02432,092,26121,2351
LP-837-2016-00936,837,70769,23784
LP-092-2016-01823,092,77637,21343
LP-092-2016-01822,092,11027,5002
LP-092-2016-01827,092,67186,5492
LP-092-2016-03251,092,52938,7235
LP-444-2015-00233,444,66478,4041
LP-444-2016-00296,444,11464,1123
LP-092-2016-02934,092,83874,18029
LP-837-2016-00436,837,8817,3653
LP-186-2015-00202,186,43195,19753
LP-092-2015-00144,092,44354,7478
LP-186-2014-00165,186,83074,86272
LP-186-2015-01264,186,77991,81344
LP-092-2016-01227,092,79348,659
LP-186-2015-01262,186,79587,7900
LP-444-2015-00195,444,67331,28513
LP-837-2016-01106,837,62051,18641
LP-186-2016-00552,186,6511,823
LP-186-2016-00550,186,78746,83649
LP-092-2016-03095,092,57836,71608
LP-092-2016-01339,092,68686,17709
LP-837-2016-01666,837,69813,1718
LP-837-2016-01667,837,68245,10000
LP-186-2015-00511,186,1254,516
LP-092-2015-02446,092,7424,50704
LP-092-2015-02444,092,74469,1031
LP-092-2016-03388,092,81250,19049
LP-186-2015-00196,186,78874,20391
LP-186-2015-01194,186,74402,24393
LP-186-2014-00362,186,10958,8887
LP-092-2016-03382,092,9867,78609
LP-092-2016-03385,092,15942,54489
LP-186-2014-00364,186,82185,1234
LP-092-2016-03893,092,81632,3605
LP-837-2016-01279,837,78437,322
LP-837-2016-01278,837,74982,24962
LP-837-2016-01270,837,8025,62234
LP-837-2016-01277,837,75607,33595
LP-837-2016-01276,837,1712,49672
LP-444-2015-00488,444,86388,10521
LP-444-2015-00489,444,1090,81055
LP-837-2016-00043,837,66964,12715
LP-837-2016-00042,837,84319,2960
LP-444-2015-00485,444,71503,4914
LP-092-2016-00381,092,974,84616
LP-092-2016-00383,092,48746,30381
LP-092-2015-02046,092,82064,78900
LP-092-2015-02590,092,61946,5413
LP-092-2016-00277,092,75079,3125
LP-092-2016-00437,092,10580,16759
LP-092-2016-00478,092,80315,13974
LP-186-2015-00429,186,72691,15046
LP-837-2016-01473,837,79724,2018
LP-444-2015-00551,444,9877,2478
LP-837-2016-01477,837,6322,58537
LP-837-2016-01476,837,71637,8556
LP-092-2014-00022,092,58705,39439
LP-092-2014-00023,092,4637,79034
LP-092-2016-01383,092,8276,76262
LP-092-2016-01380,092,64103,17862
LP-092-2014-00025,092,48398,30303
LP-186-2016-00823,186,17875,80452
LP-092-2016-00492,092,9661,2147
LP-092-2016-00496,092,71466,20426
LP-092-2016-00499,092,5849,64646
LP-837-2016-00679,837,75105,3242
LP-444-2015-00150,444,71177,77660
LP-444-2015-00151,444,17569,81762
LP-092-2016-04000,092,14125,82147
LP-092-2016-00019,092,79653,11636
LP-092-2016-00018,092,56330,37195
LP-444-2015-00156,444,7530,1048
LP-444-2015-00157,444,64592,86263
LP-837-2016-01585,837,63732,8150
LP-837-2016-01584,837,70621,2815
LP-106-2015-01095,106,52986,1752
LP-837-2016-01581,837,4645,10333
LP-092-2016-00010,092,85544,64074
LP-837-2016-01583,837,68883,4897
LP-092-2016-00012,092,69682,75583
LP-106-2016-00655,106,54320,39316
LP-837-2016-00198,837,83310,2121
LP-837-2016-00194,837,391,83197
LP-837-2016-00191,837,82895,84060
LP-837-2016-00190,837,81170,2784
LP-106-2013-00005,106,12062,47484
LP-444-2015-00808,444,73455,3763
LP-444-2015-00809,444,85379,3028
LP-837-2016-00226,837,10402,5395
LP-092-2015-02825,092,37645,6497
LP-837-2016-00229,837,67415,2680
LP-092-2015-02714,092,76561,18339
LP-092-2015-00995,092,18152,49420
LP-444-2015-00028,444,38156,6446
LP-837-2016-01676,837,8763,44152
LP-092-2016-00723,092,79271,1381
LP-092-2016-01639,092,83572,298
LP-444-2015-00021,444,56626,20426
LP-444-2015-00024,444,15264,68360
LP-092-2016-01633,092,66499,8032
LP-444-2015-00026,444,67661,11350
LP-837-2016-01291,837,2996,70262
LP-092-2016-00120,092,68123,2555
LP-092-2016-00123,092,1123,1282
LP-444-2015-00737,444,75114,13723
LP-444-2015-00730,444,54873,4405
LP-092-2016-00656,092,73906,51251
LP-092-2015-01247,092,80315,67510
LP-837-2016-01233,837,64605,71746
LP-092-2016-00658,092,77943,10783
LP-092-2016-01707,092,66153,17163
LP-092-2015-02248,092,75454,8238
LP-837-2016-01051,837,75348,8326
LP-092-2015-01844,092,69761,15173
LP-092-2015-02911,092,46267,37050
LP-444-2016-00772,444,20841,1345
LP-837-2015-00214,837,59871,11023
LP-837-2015-00217,837,13232,1470
LP-837-2015-00213,837,64145,14332
LP-106-2015-00381,106,80265,3024
LP-092-2016-03598,092,83999,81299
LP-092-2016-01526,092,78488,6955
LP-092-2016-01527,092,77129,73554
LP-106-2016-00749,106,70238,80574
LP-106-2016-00748,106,85171,76569
